Rid(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Tidal_Force(35),Tidal_ID(36),Rs_Klypin(37),Mmvir_all(38),M200b(39),M200c(40),M500c(41),M2500c(42),Xoff(43),Voff(44),Spin_Bullock(45),b_to_a(46),c_to_a(47),A[x](48),A[y](49),A[z](50),b_to_a(500c)(51),c_to_a(500c)(52),A[x](500c)(53),A[y](500c)(54),A[z](500c)(55),T/|U|(56),M_pe_Behroozi(57),M_pe_Diemer(58),Macc(59),Mpeak(60),Vacc(61),Vpeak(62),Halfmass_Scale(63),Acc_Rate_Inst(64),Acc_Rate_100Myr(65),Acc_Rate_1*Tdyn(66),Acc_Rate_2*Tdyn(67),Acc_Rate_Mpeak(68),Mpeak_Scale(69),Acc_Scale(70),First_Acc_Scale(71),First_Acc_Mvir(72),First_Acc_Vmax(73),Vmax\@Mpeak(74),Tidal_Force_Tdyn(75),Log_(Vmax/Vmax_max(Tdyn;Tmpeak))(76),Time_to_future_merger(77),Future_merger_MMP_ID(78),AHF-G3X follows as HIDs(79),Mgas(80),Mstar(81),Tgas mw(82),Tgas sl(83),Yx(84),Ysz(85)
1.0,12663401752.0,0.0,-1.0,77.0,-1.0,-1.0,-1.0,0.0,3502700000000000.0,3502700000000000.0,3090.156982,856.362976,2575.209961,1.0,0.5378,2298.73999,669.87903,197.09425,960.00757,-214.11,-770.69,450.42,1.469e+18,5.33e+17,1.165e+18,0.04078,0.0,0.0,12663401752.0,94752395.0,125.0,-1.0,176973.0,111.0,0.0,-1.0,723.83,3522800000000000.0,3790400000000000.0,2706200000000000.0,1773100000000000.0,429380000000000.0,371.819,702.79,0.05767,0.54673,0.35908,-68.8875,246.82,-78.076,0.6006,0.4269,-53.8288,141.64,-64.4491,0.7367,3588000000000000.0,3670000000000000.0,3502700000000000.0,3502700000000000.0,2298.73999,2310.73999,0.7837,1021000.0,1021000.0,599800.0,600700.0,521400.0,1.0,1.0,1.0,3503000000000000.0,2298.74,2298.74,0.0,0.04457,-1.0,12663401752.0,128000000000001.0,241338070711607.6,19694265845917.688,11.45083236694336,9.422745704650879,2763521791480141.5,682.2334233996187
1.0,12654286870.0,0.0,-1.0,5.0,-1.0,-1.0,-1.0,0.0,184440000000000.0,182500000000000.0,1154.154053,132.710999,985.780029,1.0,0.4406,963.47998,666.2616,199.44585,959.23053,1472.52,-883.07,1132.61,-642100000000000.0,-290300000000000.0,-4041000000000000.0,0.0161,230105233.0,230105233.0,12654286870.0,85637513.0,125.0,-1.0,230124514.0,230105333.0,1.11198,12663401752.0,133.345,195710000000000.0,212850000000000.0,151350000000000.0,118320000000000.0,58080000000000.0,7.16546,35.34,0.0167,0.66181,0.47344,66.4733,9.32541,54.0859,0.67241,0.42979,50.68,10.6033,45.3527,0.6082,201300000000000.0,109100000000000.0,182500000000000.0,184910000000000.0,963.47998,1035.290039,0.4505,-5820.0,-5820.0,-46.76,2891.0,6736.0,0.8013,1.0,1.0,182500000000000.0,963.48,982.99,0.89318,-0.00871,-1.0,12654286870.0,128000000000003.0,16411085431306.273,1953234120134.0022,2.5627002716064453,2.4498884677886963,42056693092165.164,10.400865352893613
1.0,12663402608.0,0.0,-1.0,3.0,-1.0,-1.0,-1.0,0.0,142298000000000.0,139390000000000.0,1055.021973,125.297997,879.159973,1.0,0.6008,873.549988,670.43878,188.06396,962.12659,-19.57,1163.76,-311.31,-4986000000000000.0,-2200000000000000.0,2677000000000000.0,0.03949,301794003.0,301794003.0,12663402608.0,94753251.0,125.0,-1.0,301803983.0,301794122.0,0.61321,12663401752.0,126.864,142520000000000.0,155960000000000.0,115590000000000.0,87511000000000.0,43076000000000.0,18.33,43.68,0.03873,0.82305,0.54689,11.0929,52.3267,-13.0413,0.64208,0.44367,9.70905,43.5543,-11.3878,0.5674,148900000000000.0,83270000000000.0,139390000000000.0,142350000000000.0,873.549988,938.849976,0.5747,-566.3,-566.3,-495.2,4419.0,6165.0,0.9152,1.0,1.0,139400000000000.0,873.55,880.81,0.54217,-0.00578,-1.0,12663402608.0,128000000000005.0,11573718930627.365,1433495870155.184,1.7072349786758423,2.0117244720458984,19759057791729.8,4.850119835330751
1.0,12654284841.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,61796000000000.0,61796000000000.0,804.447998,128.192001,716.590027,1.0,0.4215,635.77002,658.13599,195.85168,957.67468,580.35,55.26,120.41,473800000000000.0,-1572000000000000.0,-907700000000000.0,0.03645,584807091.0,584807091.0,12654284841.0,85635484.0,125.0,-1.0,584812406.0,584807187.0,0.49484,12663401752.0,123.938,63941000000000.0,69159000000000.0,49874000000000.0,33477000000000.0,16663000000000.0,86.339,109.16,0.04643,0.67477,0.51116,5.30932,-33.6019,43.78,0.83093,0.59132,3.91712,-16.9027,33.2421,0.7157,63400000000000.0,42450000000000.0,61796000000000.0,61796000000000.0,635.77002,667.530029,0.4814,3231.0,3231.0,8668.0,4864.0,4016.0,1.0,1.0,1.0,61800000000000.0,635.77,635.77,0.45033,0.01447,-1.0,12654284841.0,128000000000007.0,3690632296898.4385,583979010478.1787,1.0644536018371582,1.1008919477462769,3928506841490.087,1.04337272089459
1.0,12663403684.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,40798000000000.0,40798000000000.0,700.474976,68.907997,586.48999,1.0,0.2121,605.390015,669.29852,184.84134,950.55121,-132.0,172.05,584.18,370800000000000.0,-112100000000000.0,567500000000000.0,0.03687,764752191.0,764752191.0,12663403684.0,94754327.0,125.0,-1.0,764756416.0,764752303.0,0.40003,12663401752.0,68.9084,41152000000000.0,43737000000000.0,35329000000000.0,26840000000000.0,14517000000000.0,25.5733,11.56,0.03397,0.96154,0.63805,12.7627,31.7377,-1.57019,0.8785,0.59444,0.3024,27.8059,4.42114,0.5413,45660000000000.0,21720000000000.0,40798000000000.0,40798000000000.0,605.390015,650.809998,0.4215,1192.0,1192.0,1323.0,838.1,475.0,1.0,1.0,1.0,40800000000000.0,605.39,605.39,0.37224,0.0037,-1.0,12663403684.0,128000000000010.0,2901205471620.6514,596923056189.5028,0.8604581356048584,1.038682222366333,2496365851117.32,0.6019196825189658
1.0,12663403273.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,38649900000000.0,37459000000000.0,680.81897,78.179001,566.349976,1.0,0.17,575.219971,676.84277,193.91302,950.47412,-567.52,306.49,425.64,-79000000000000.0,-15770000000000.0,-126100000000000.0,0.00864,804270764.0,804270764.0,12663403273.0,94753916.0,125.0,-1.0,804275083.0,804270844.0,0.48839,12663401752.0,74.2853,37662000000000.0,41677000000000.0,31112000000000.0,24038000000000.0,12474000000000.0,6.78083,62.49,0.00853,0.6056,0.50515,-14.5454,11.9412,41.5242,0.58389,0.46848,-12.3846,8.76792,33.633,0.5725,40920000000000.0,22250000000000.0,37459000000000.0,38629000000000.0,575.219971,611.5,0.5498,1535.0,1535.0,682.3,-186.4,717.6,0.7666,1.0,1.0,37460000000000.0,575.22,564.89,0.46129,0.00787,-1.0,12663403273.0,128000000000014.0,2316782143440.196,444222330160.5145,0.7751948833465576,0.9104824066162109,1795957663423.5103,0.4619265924964559
1.0,12663400406.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,24539700000000.0,24490000000000.0,590.893005,57.778999,501.579987,1.0,0.2589,508.779999,669.74445,192.64413,962.948,-1061.27,2058.21,-486.2,66050000000000.0,105200000000000.0,-164400000000000.0,0.02549,1017547113.0,1017547113.0,12663400406.0,94751049.0,125.0,-1.0,1017550126.0,1017547225.0,0.95598,12663401752.0,59.1073,25232000000000.0,25971000000000.0,21235000000000.0,16703000000000.0,8617000000000.0,9.79447,9.21,0.02384,0.77452,0.57753,-19.6487,25.2001,8.82386,0.67074,0.51372,19.0772,-17.5374,-9.53814,0.5537,28420000000000.0,13260000000000.0,24490000000000.0,24589000000000.0,508.779999,538.450012,0.4032,-157.3,-157.3,554.0,553.5,593.2,0.9567,1.0,1.0,24490000000000.0,508.78,519.88,0.98604,-0.01117,-1.0,12663400406.0,128000000000022.0,1768043782717.7957,375167572667.9969,0.9386352300643921,0.8631591796875,1659548182755.236,0.5861770223440762
1.0,12663399122.0,0.0,-1.0,3.0,-1.0,-1.0,-1.0,0.0,26514000000000.0,25813000000000.0,601.348999,114.007004,467.609985,1.0,0.5622,465.619995,668.81573,192.0497,958.41516,61.96,1357.0,1069.84,8466000000000.0,75910000000000.0,318800000000000.0,0.03217,990129939.0,990129939.0,12663399122.0,94749765.0,125.0,-1.0,990132998.0,990130050.0,0.94766,12663401752.0,104.927,26441000000000.0,30444000000000.0,19634000000000.0,13684000000000.0,5987000000000.0,12.2146,46.26,0.03475,0.66642,0.55118,48.1511,0.40808,0.95065,0.51282,0.41963,38.799,4.56755,1.06523,0.5849,25850000000000.0,20360000000000.0,25813000000000.0,26632000000000.0,465.619995,502.839996,0.5498,-663.8,-663.8,-148.3,300.3,1292.0,0.9567,1.0,1.0,25810000000000.0,465.62,456.82,0.76504,-0.01382,-1.0,12663399122.0,128000000000023.0,894379569857.3195,315765764001.39404,0.6245235204696655,0.6854666471481323,558561077603.4384,0.1856663292937067
1.0,12663400091.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,19820000000000.0,17779000000000.0,531.065002,92.43,425.799988,1.0,0.7016,414.230011,668.6853,192.78645,959.26227,1099.95,1320.7,888.66,-29750000000000.0,-299800000000000.0,20420000000000.0,0.05209,1192525481.0,1192525481.0,12663400091.0,94750734.0,125.0,-1.0,1192527787.0,1192525563.0,1.08423,12663401752.0,88.4895,17978000000000.0,20588000000000.0,14887000000000.0,10142000000000.0,3871900000000.0,31.5047,104.88,0.0596,0.69115,0.56727,14.9199,-3.06246,44.5981,0.93009,0.69947,9.33588,-2.51144,29.2286,0.6415,18860000000000.0,14120000000000.0,17779000000000.0,19921000000000.0,414.230011,475.269989,0.4709,449.9,449.9,32.04,-76.95,1293.0,0.8013,1.0,1.0,17780000000000.0,414.23,450.03,0.84099,-0.036,-1.0,12663400091.0,128000000000026.0,876030897077.7987,450485285145.2961,0.5688952803611755,0.5790982842445374,498369842798.1264,0.28475798242943967
1.0,12663404089.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,22015300000000.0,20647000000000.0,558.208008,48.480999,480.73999,1.0,0.6712,490.459991,668.729,182.01414,961.86353,-139.64,705.5,-351.07,-118800000000000.0,-115200000000000.0,5395000000000.0,0.02732,1109368976.0,1109368976.0,12663404089.0,94754732.0,125.0,-1.0,1109371778.0,1109369067.0,0.40562,12663401752.0,51.0769,20946000000000.0,23299000000000.0,17869000000000.0,14207000000000.0,7326800000000.0,5.27823,20.43,0.02547,0.80902,0.72669,6.60186,-12.5097,25.608,0.75589,0.68314,7.2472,-12.5882,19.5407,0.5607,24460000000000.0,10390000000000.0,20647000000000.0,22080000000000.0,490.459991,572.440002,0.6565,295.7,295.7,-470.2,208.6,2142.0,0.8013,1.0,1.0,20650000000000.0,490.46,508.23,0.36769,-0.01546,-1.0,12663404089.0,128000000000030.0,964183793435.2224,299220989986.86127,0.5298975110054016,0.6126194596290588,510918592293.0706,0.13823268011143863
